player.playerId,name,player.photoURL,player.jumperNumber,team.name,Disposals,Marks,Goals,tackles,games
CD_I1009836,Natalie Grider,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009836.png,10,Brisbane Lions,12.71428571,2.785714286,0,3.071428571,14
CD_I1009838,Jesse Wardlaw,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009838.png,30,St Kilda,12.30769231,4.769230769,1.076923077,2.076923077,13
CD_I1009843,Ellie Hampson,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009843.png,7,Brisbane Lions,10.11111111,1.222222222,0.888888889,1.777777778,9
CD_I1009844,Tahlia Hickie,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009844.png,2,Brisbane Lions,12.53333333,2.866666667,0,3.4,15
CD_I1009845,Kalinda Howarth,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009845.png,35,Collingwood,10.54545455,2.727272727,0.636363636,1.363636364,11
CD_I1009847,Sophie Conway,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009847.png,12,Brisbane Lions,16.8,3.133333333,0.333333333,3.8,15
CD_I1009853,Tyla Hanks,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009853.png,5,Melbourne,23,2.066666667,0.266666667,6.933333333,15
CD_I1009854,Denby Taylor,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009854.png,18,Melbourne,8.25,0.75,0,2.75,4
CD_I1009855,Darcy Guttridge,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009855.png,5,St Kilda,7.5,1.833333333,0.5,2.333333333,6
CD_I1009856,Grace Egan,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009856.png,1,Richmond,19.77777778,2.444444444,0,3.666666667,9
CD_I1009857,Georgia Clarke,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009857.png,17,Essendon,13.16666667,2.5,0.083333333,1.333333333,12
CD_I1009860,Rebecca Webster,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009860.png,21,Geelong Cats,15.75,2.916666667,0.083333333,2.666666667,12
CD_I1009861,Olivia Purcell,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009861.png,2,Melbourne,26.5,1,0.5,7,2
CD_I1009863,Nina Morrison,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009863.png,9,Geelong Cats,20.25,1.75,0.5,7.666666667,12
CD_I1009865,Lucy McEvoy,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009865.png,9,Sydney Swans,14.08333333,3,0,3.416666667,12
CD_I1009866,Rene Caris,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009866.png,19,St Kilda,6.5,1.166666667,0,2.333333333,6
CD_I1009867,Georgia Patrikios,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009867.png,21,St Kilda,20,3,0.461538462,4.307692308,13
